sample,likelihood,posterior,coal_rate_1,coal_rate_2,coal_rate_3,backward_migration_rate_2_1,backward_migration_rate_3_1,backward_migration_rate_1_2,backward_migration_rate_3_2,backward_migration_rate_1_3,backward_migration_rate_2_3,st_radius
5900,-30.89541,-22.79384,0.3938036,0.6996745,0.1040325,0.009754497,0.06067646,0.06148819,0.03212119,0.1582283,0.05904297,5.604643
6000,-26.96115,-13.87943,0.5716255,0.5990951,0.2150422,0.04322278,0.07929653,0.03512024,0.01142088,0.01533428,0.03008511,5.883043
6100,-25.68434,-9.234397,0.2561497,0.6785979,0.04509954,0.04372512,0.03802915,0.004720146,0.01165066,0.01812323,0.01078855,7.164054
6200,-26.12519,-12.39904,0.4274225,0.4748909,0.4820404,0.0375442,0.07026377,0.0006688711,0.01548539,0.03459345,0.0355631,8.3051
6300,-30.87902,-20.66599,0.3836129,0.8151801,1.019868,0.02588386,0.0172418,0.03126048,0.0660949,0.07202818,0.05324785,7.63012
6400,-23.97438,-13.31436,0.4712032,1.054242,2.622999,0.04148563,0.01197488,0.001526634,0.05909508,0.04378454,0.001834256,6.8861
6500,-28.15366,-13.06086,0.4781893,0.5061865,0.5205829,0.009624049,0.00100526,0.02321089,0.01725934,0.02677827,0.06717659,6.26337
6600,-25.77969,-13.16189,0.215004,0.9094119,0.3152811,0.03171662,0.01482903,0.03596124,0.01203557,0.1245279,0.007547301,5.915256
6700,-24.10009,-14.6148,1.082927,0.8444213,0.5779784,0.0150712,0.03694626,0.07205686,0.004707364,0.08957978,0.05681505,5.634147
6800,-32.22799,-18.7311,0.1749288,1.48819,0.2988396,0.01377086,0.01050769,0.003118964,0.03645283,0.01804477,0.09198848,5.413782
6900,-26.0997,-12.20953,0.359041,0.3487912,0.2532616,0.004215545,0.03093873,0.05948522,0.01241977,0.08842632,0.01358779,5.310665
7000,-21.80598,-9.799479,0.201144,0.7326902,1.624863,0.07290532,0.0158244,0.007287636,0.01274067,0.07084772,0.01310856,5.397216
7100,-23.46506,-9.559697,0.4660121,1.148369,0.6883502,0.03657436,0.03787802,0.006787959,0.003268011,0.05243915,0.007761778,5.350542
