sample,likelihood,posterior,coal_rate_1,coal_rate_2,coal_rate_3,backward_migration_rate_2_1,backward_migration_rate_3_1,backward_migration_rate_1_2,backward_migration_rate_3_2,backward_migration_rate_1_3,backward_migration_rate_2_3,st_radius
6500,-63.1606,-49.02959,0.2650081,0.5813201,0.01959313,0.01851448,0.03615607,0.05349401,0.01288731,0.0230468,0.06187181,11.43537
6600,-41.96421,-27.89501,0.5212115,0.3550944,0.2913143,0.02375727,0.01166524,0.0256477,0.04305124,0.03039479,0.05904803,12.51684
6700,-49.57866,-37.25537,0.3500262,0.2945575,0.803865,0.05965761,0.02917137,0.002140247,0.04823623,0.06747755,0.02885381,13.08594
6800,-31.69383,-20.56987,1.493512,0.3354352,2.598409,0.0282072,0.07029201,0.008018802,0.01049841,0.006588824,0.008108233,13.60329
6900,-32.43626,-20.75002,1.282742,0.2345771,0.8244275,0.00966689,0.01970179,0.009983328,0.02004115,0.1271065,0.02669649,14.93025
7000,-41.7864,-29.85798,0.6666203,0.2165854,1.123442,0.05670117,0.01876708,0.007276695,0.01461779,0.0904115,0.03370082,15.99397
7100,-36.72135,-19.2438,0.4533053,0.4103846,0.4133244,0.06190629,0.007006405,0.005819469,0.005272059,0.0001237172,0.0001845276,16.29667
7200,-25.57633,-11.45368,0.6858685,0.1052105,1.78904,0.02526282,0.08812224,0.0008163917,0.001416463,0.0005075111,0.00848793,17.00302
7300,-28.54546,-15.99356,1.244554,0.2677258,1.161237,0.01882856,0.03445993,0.05160549,0.04906201,0.001676588,0.01432537,17.89465
7400,-26.42931,-20.59981,0.390374,0.2415989,4.267953,0.06054819,0.1312007,0.002605262,0.07954004,0.00103329,0.002116287,19.24475
7500,-35.84819,-27.99405,2.474169,0.1290625,2.060766,0.05062861,0.06178816,0.02712664,0.03834194,0.03815973,0.008052186,20.85526
7600,-50.52384,-40.78162,0.622566,0.2332712,1.033623,0.01121621,0.1585483,0.01327711,0.05163454,0.02464998,0.03703035,21.11853
7700,-34.14642,-19.9653,0.5353404,0.2976761,0.3873131,0.04345752,0.08687218,0.002773532,0.02332571,0.0279537,0.003124102,21.71078
7800,-32.90109,-20.78109,1.030658,0.31551,0.9381168,0.02697446,0.0356764,0.02627843,0.08541402,0.0003070614,0.02753216,20.96951
7900,-49.61366,-37.36009,0.2401088,0.3331889,1.075684,0.006122351,0.05005161,0.02740148,0.0994705,0.003404178,0.04174827,20.44274
8000,-53.5471,-41.00594,0.8585729,0.1620228,0.792211,0.07664199,0.06306482,0.02222371,0.004637891,0.01115301,0.0335601,21.82423
8100,-44.41944,-31.54503,0.7891741,0.1939717,0.1923418,0.01741473,0.04860253,0.07831385,0.03951378,0.02130009,0.02591861,22.12988
8200,-44.83007,-30.53798,0.2161926,0.2381057,0.7187232,0.01823427,0.08593004,0.05534359,0.004664387,0.01649126,0.005577989,20.75771
8300,-32.42007,-22.82852,1.1837,0.3500887,0.8297733,0.104334,0.03518931,0.0157519,0.02300455,0.09222773,0.008050735,21.13427
8400,-48.38286,-34.61101,0.4074793,0.116315,0.5530114,0.009693883,0.03892921,0.01917052,0.009026844,0.01631097,0.1141828,20.88058
8500,-38.07041,-32.08025,0.1277791,0.1883891,4.365067,0.01252185,0.1404569,9.059169e-05,0.04664148,0.0279366,0.05471626,19.84355
8600,-54.57151,-40.84661,0.1308471,0.4297153,0.5567891,0.03009696,0.03064191,0.07066114,0.01460106,0.006537963,0.05433278,21.10717
8700,-54.10218,-40.6092,1.391136,0.1155561,0.514692,0.003552574,0.01430622,0.08014856,0.0007116856,0.004871789,0.06758691,19.56745
8800,-46.55057,-32.11533,1.2827,0.12876,0.4548516,0.02538687,0.01281434,0.04731626,0.03339879,0.01898289,0.01079359,19.17494
8900,-36.68362,-20.70387,0.7428692,0.3987805,1.032464,0.02271463,0.006324591,0.008958302,0.01545493,0.01441981,0.01720419,19.93138
9000,-30.64252,-15.41966,1.592659,0.4072983,0.6427469,0.02388263,0.01407974,0.009537052,0.01393357,0.02335793,0.001966359,18.93924
9100,-38.2119,-24.22032,0.7166948,0.1942921,1.475929,0.07487171,0.009066737,0.006383936,0.02194648,0.01446477,0.01123395,18.85984
9200,-34.94087,-22.61447,1.36033,0.4534037,1.247008,0.02295826,0.06052511,0.02127215,0.02586689,0.02470922,0.003336983,19.1448
9300,-31.95498,-17.07895,0.546092,0.1125044,1.257635,0.008567697,0.005547328,0.009577601,0.03418061,0.06487656,0.009592863,19.75792
9400,-43.67349,-30.27107,0.617428,0.190628,1.632859,0.04482491,0.005110842,0.04457516,0.004414491,0.04030039,0.01484661,19.97849
9500,-43.13528,-33.09479,1.013553,0.2708792,0.3267564,0.07402938,0.00191941,0.1074325,0.005273857,0.0874409,0.02405556,18.78377
9600,-43.79037,-32.90582,1.338053,0.1984708,0.2589119,0.06196655,0.01309233,0.004699102,0.09237313,0.08151824,0.01097287,17.33984
9700,-40.20382,-29.59142,2.08306,0.2501149,0.6672145,0.0787295,0.001012749,0.001503059,0.03637912,0.09451734,0.003733238,16.27439
9800,-31.92187,-20.16874,2.123908,0.1834834,0.405146,0.07584382,0.007426187,0.009012607,0.007757145,0.07332076,0.02006007,16.73528
9900,-65.84545,-57.17597,0.7989591,0.1802833,0.03187706,0.0819891,0.08386984,0.1112673,0.02235303,0.06917388,0.003530997,17.84726
10000,-66.69051,-57.3649,0.08107043,1.414713,0.3234447,0.1685448,0.02371567,0.002024582,0.05727759,0.04500333,0.01634085,18.12831
